Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
clme0219,path0089,2,0.6666666666666666,Journal article|Conference paper,Immunology|Experimental Dermatology,01/12/2014|01/11/2014,The role of FoxP3(+) regulatory T-cells in psoriasiform skin disease|The role of FoxP3+regulatory T cells in psoriasiform skin disease,"Adelmann K,Hegazy AN,Ogg G,Powrie F|Adelmann K,Hegazy AN,Ogg G,Powrie F",|
coml0332,math0111,1,0.09090909090909091,Journal article,PLoS One,13/04/2011,Multiscale modelling of vascular tumour growth in 3D: The roles of domain size and boundary conditions,"Perfahl H,Byrne HM,Chen T,Estrella V,Alarcón T,Lapin A,Gatenby RA,Gillies RJ,Lloyd MC,Maini PK,Reuss M,Owen MR",
clme1358,cschof,10,0.8006576173197066,Journal article|Journal article|Journal article|Journal article|Conference paper|Journal article|Journal article|Journal article|Journal article|Journal article,Journal of Medicinal Chemistry|Journal of Medicinal Chemistry|Chemical Communications|Journal of Medicinal Chemistry|ACS National Meeting Book of Abstracts|Journal of the American Chemical Society|MedChemComm|Chemical Science|Journal of Medicinal Chemistry|MedChemComm,07/01/2016|02/02/2016|01/01/2015|27/09/2012|08/09/2013|19/06/2014|01/12/2014|01/08/2013|25/06/2012|01/07/2015,"8-Substituted Pyrido[3,4-d]pyrimidin-4(3H)-one Derivatives As Potent, Cell Permeable, KDM4 (JMJD2) and KDM5 (JARID1) Histone Lysine Demethylase Inhibitors.|Recent Progress in Histone Demethylase Inhibitors.|Betti reaction enables efficient synthesis of 8-hydroxyquinoline inhibitors of 2-oxoglutarate oxygenases.|Progress in the development and application of small molecule inhibitors of bromodomain-acetyl-lysine interactions.|Chemical probes for bromodomains outside the BET family|Discovery and optimization of small-molecule ligands for the CBP/p300 bromodomains.|Optimisation of a triazolopyridine based histone demethylase inhibitor yields a potent and selective KDM2A (FBXL11) inhibitor.|5-Carboxy-8-hydroxyquinoline is a broad spectrum 2-oxoglutarate oxygenase inhibitor which causes iron translocation|Plant growth regulator daminozide is a selective inhibitor of human KDM2/7 histone demethylases.|Design and synthesis of potent and selective inhibitors of BRD7 and BRD9 bromodomains","Bavetsias V,Lanigan RM,Ruda GF,Atrash B,McLaughlin MG,Tumber A,Mok NY,Le Bihan YV,Dempster S,Boxall KJ,Jeganathan F,Hatch SB,Savitsky P,Velupillai S,Krojer T,England KS,Sejberg J,Thai C,Donovan A,Pal A,Scozzafava G,Bennett JM,Kawamura A,Johansson C,Szykowska A,Gileadi C,Burgess-Brown NA,von Delft F,Oppermann U,Walters Z,Shipley J,Raynaud FI,Westaway SM,Prinjha RK,Fedorov O,Burke R,Schofield CJ,Westwood IM,Bountra C,Müller S,van Montfort RL,Brennan PE,Blagg J|McAllister TE,England KS,Hopkinson RJ,Brennan PE,Kawamura A,Schofield CJ|Thinnes CC,Tumber A,Yapp C,Scozzafava G,Yeh T,Chan MC,Tran TA,Hsu K,Tarhonskaya H,Walport LJ,Wilkins SE,Martinez ED,Müller S,Pugh CW,Ratcliffe PJ,Brennan PE,Kawamura A,Schofield CJ|Hewings DS,Rooney TP,Jennings LE,Hay DA,Schofield CJ,Brennan PE,Knapp S,Conway SJ|Brennan PE,Martin SJ,Monteiro O,Fedorov O,Knapp S,Hay D,Wells C,Filippakopoulos P,Picaud S,Muller-Knapp S,Keates T,Yapp C,Philpott M,Schofield C,Burgess-Brown N,Shrestha L,Strain-Damerell C|Hay DA,Fedorov O,Martin S,Singleton DC,Tallant C,Wells C,Picaud S,Philpott M,Monteiro OP,Rogers CM,Conway SJ,Rooney TP,Tumber A,Yapp C,Filippakopoulos P,Bunnage ME,Müller S,Knapp S,Schofield CJ,Brennan PE|England KS,Tumber A,Krojer T,Scozzafava G,Ng SS,Daniel M,Szykowska A,Che K,von Delft F,Burgess-Brown NA,Kawamura A,Schofield CJ,Brennan PE|Hopkinson RJ,Tumber A,Yapp C,Chowdhury R,Aik W,Che KH,Li XS,Kristensen JBL,King ONF,Chan MC,Yeoh KK,Choi H,Walport LJ,Thinnes CC,Bush JT,Lejeune C,Rydzik AM,Rose NR,Bagg EA,McDonough MA,Krojer TJ,Yue WW,Ng SS,Olsen L,Brennan PE,Oppermann U,Müller S,Klose RJ,Ratcliffe PJ,Schofield CJ,Kawamura A|Rose NR,Woon EC,Tumber A,Walport LJ,Chowdhury R,Li XS,King ON,Lejeune C,Ng SS,Krojer T,Chan MC,Rydzik AM,Hopkinson RJ,Che KH,Daniel M,Strain-Damerell C,Gileadi C,Kochan G,Leung IK,Dunford J,Yeoh KK,Ratcliffe PJ,Burgess-Brown N,von Delft F,Muller S,Marsden B,Brennan PE,McDonough MA,Oppermann U,Klose RJ,Schofield CJ,Kawamura A|Hay DA,Rogers CM,Fedorov O,Tallant C,Martin S,Monteiro OP,Mueller S,Knapp S,Schofield CJ,Brennan PE","||Humans,Oxyquinoline,Oxygenases,Enzyme Inhibitors,Molecular Structure,Structure-Activity Relationship,Dose-Response Relationship,Drug,Models,Molecular|Acetylation,Animals,Histones,Humans,Lysine,Molecular Targeted Therapy,Nuclear Proteins,Protein Binding,Protein Processing,Post-Translational||Hela Cells,Microsomes,Liver,Humans,Isoxazoles,Indoles,Ligands,Crystallography,X-Ray,Fluorescence Recovery After Photobleaching,Drug Evaluation,Preclinical,Binding Sites,Molecular Structure,Protein Structure,Tertiary,Structure-Activity Relationship,Genes,p53,Models,Molecular,E1A-Associated p300 Protein,CREB-Binding Protein,Small Molecule Libraries,Drug Discovery,Chemistry Techniques,Synthetic|||Enzyme Inhibitors,Humans,Inhibitory Concentration 50,Jumonji Domain-Containing Histone Demethylases,Models,Molecular,Plant Growth Regulators,Protein Conformation,Substrate Specificity,Succinates|"
clab0127,clme1358,1,0.027777777777777776,Journal article,Cancer Research,,Generation of a Selective Small Molecule Inhibitor of the CBP/p300 Bromodomain for Leukemia Therapy.,"Picaud S,Fedorov O,Thanasopoulou A,Leonards K,Jones K,Meier J,Olzscha H,Monteiro O,Martin S,Philpott M,Tumber A,Filippakopoulos P,Yapp C,Wells C,Che KH,Bannister A,Robson S,Kumar U,Parr N,Lee K,Lugo D,Jeffrey P,Taylor S,Vecellio ML,Bountra C,Brennan PE,O'Mahony A,Velichko S,Müller S,Hay D,Daniels DL,Urh M,La Thangue NB,Kouzarides T,Prinjha R,Schwaller J,Knapp S","Cell Line,Tumor,Animals,Humans,Mice,Oxazepines,Doxorubicin,Antineoplastic Combined Chemotherapy Protocols,Enzyme Inhibitors,Xenograft Model Antitumor Assays,Amino Acid Sequence,Protein Structure,Tertiary,Drug Synergism,Models,Molecular,Molecular Sequence Data,p300-CBP Transcription Factors,Leukemia,Myeloid,Acute"
clme0946,whgu0172,1,0.05,Journal article,Cancer Cell,13/05/2013,Restoring p53 function in human melanoma cells by inhibiting MDM2 and cyclin B1/CDK1-phosphorylated nuclear iASPP.,"Lu M,Breyssens H,Salter V,Zhong S,Hu Y,Baer C,Ratnayaka I,Sullivan A,Brown NR,Endicott J,Knapp S,Kessler BM,Middleton MR,Siebold C,Jones EY,Sviderskaya EV,Cebon J,John T,Caballero OL,Goding CR,Lu X","Active Transport,Cell Nucleus,Animals,Antineoplastic Agents,Apoptosis,CDC2 Protein Kinase,Cell Line,Tumor,Cell Proliferation,Cyclin B1,Dimerization,Humans,Imidazoles,Indoles,Intracellular Signaling Peptides and Proteins,M Phase Cell Cycle Checkpoints,Melanoma,Mice,Neoplasm Metastasis,Nocodazole,Phosphorylation,Piperazines,Proto-Oncogene Proteins c-mdm2,Repressor Proteins,Sulfonamides,Triazoles,Tumor Suppressor Protein p53,Xenograft Model Antitumor Assays"
immd0075,immd0654,1,0.05263157894736842,Journal article,Molecular Cell,18/01/2012,Intragenic enhancers act as alternative promoters.,"Kowalczyk MS,Hughes JR,Garrick D,Lynch MD,Sharpe JA,Sloane-Stanley JA,McGowan SJ,De Gobbi M,Hosseini M,Vernimmen D,Brown JM,Gray NE,Collavin L,Gibbons RJ,Flint J,Taylor S,Buckle VJ,Milne TA,Wood WG,Higgs DR","Animals,Cells,Cultured,Enhancer Elements,Genetic,Erythroid Cells,Gene Expression Regulation,Mice,Poly A,Promoter Regions,RNA,RNA Isoforms,Messenger,Transcriptome"
immd0330,immd0423,1,0.07142857142857142,Conference paper,Annals of Oncology,01/06/2012,CLINICAL DIAGNOSTIC IMPLEMENTATION OF AN INNOVATIVE CANCER CARE MODEL BASED ON COMPREHENSIVE MOLECULAR PROFILING OF TUMOUR-NORMAL PAIRS,"Kaur K,Henderson S,Cutts A,Domingo E,Woods J,Motley C,Dougherty B,Middleton M,Hassan B,Wang Y,Beasley E,Naley M,Schuh A,Tomlinson I,Taylor J",
clme0237,corp0784,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
clme0494,immd0499,1,0.14285714285714285,Journal article,Nature Cell Biology,25/01/2016,EXD2 promotes homologous recombination by facilitating DNA end resection.,"Broderick R,Nieminuszczy J,Baddock HT,Deshpande RA,Gileadi O,Paull TT,McHugh PJ,Niedzwiedz W",
immd0024,immd0075,1,0.058823529411764705,Journal article,Epigenetics and Chromatin,01/01/2011,Generation of bivalent chromatin domains during cell fate decisions.,"De Gobbi M,Garrick D,Lynch M,Vernimmen D,Hughes JR,Goardon N,Luc S,Lower KM,Sloane-Stanley JA,Pina C,Soneji S,Renella R,Enver T,Taylor S,Jacobsen SE,Vyas P,Gibbons RJ,Higgs DR",
path0084,whgu0142,1,0.07692307692307693,Journal article,Chemistry and Biology,26/08/2015,Inflammatory Signaling by NOD-RIPK2 Is Inhibited by Clinically Relevant Type II Kinase Inhibitors.,"Canning P,Ruan Q,Schwerd T,Hrdinka M,Maki JL,Saleh D,Suebsuwong C,Ray S,Brennan PE,Cuny GD,Uhlig HH,Gyrd-Hansen M,Degterev A,Bullock AN",
clme0494,immd0151,1,0.06666666666666667,Journal article,American Journal of Human Genetics,09/10/2012,Mutations in multidomain protein MEGF8 identify a Carpenter syndrome subtype associated with defective lateralization.,"Twigg SR,Lloyd D,Jenkins D,Elçioglu NE,Cooper CD,Al-Sannaa N,Annagür A,Gillessen-Kaesbach G,Hüning I,Knight SJ,Goodship JA,Keavney BD,Beales PL,Gileadi O,McGowan SJ,Wilkie AO","Acrocephalosyndactylia,Alleles,Animals,Genetically Modified,Child,Preschool,Facies,Female,Genetic Association Studies,Genotype,Humans,Male,Membrane Proteins,Mutation,Zebrafish"
bras2068,raob0168,1,0.125,Journal article,Medical Physics,01/02/2015,3D calculation of radiation-induced second cancer risk including dose and tissue response heterogeneities.,"Timlin C,Warren DR,Rowland B,Madkhali A,Loken J,Partridge M,Jones B,Kruse J,Miller R","Humans,Meningioma,Neoplasms,Radiation-Induced,Second Primary,Radiotherapy,Computer-Assisted,Radiotherapy Dosage,Radiotherapy Planning,Risk Assessment,Uncertainty,Dose-Response Relationship,Radiation,Models,Biological,Software"
clme0497,raob0182,2,0.12222222222222222,Journal article|Journal article,Oncogene|Oncotarget,|01/06/2016,The BET inhibitor JQ1 selectively impairs tumour response to hypoxia and downregulates CA9 and angiogenesis in triple negative breast cancer.|BET inhibition as a new strategy for the treatment of gastric cancer.,"da Motta LL,Ledaki I,Purshouse K,Haider S,De Bastiani MA,Baban D,Morotti M,Steers G,Wigfield S,Bridges E,Li JL,Knapp S,Ebner D,Klamt F,Harris AL,McIntyre A|Montenegro RC,Clark PG,Howarth A,Wan X,Ceroni A,Siejka P,Nunez-Alonso GA,Monteiro O,Rogers C,Gamble V,Burbano R,Brennan PE,Tallant C,Ebner D,Fedorov O,O'Neill E,Knapp S,Dixon D,Müller S",|
clme0240,lina0435,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
immd0556,path0511,14,1.5643740729800892,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,Blood|Blood|Cancer Cell|Oncotarget|New England Journal of Medicine|Journal of Experimental Medicine|Nature|Cancer Cell|Cell Reports|Cell Stem Cell|Blood|Leukemia|Proceedings of the National Academy of Sciences of USA|Nature Immunology,01/01/2011|06/08/2012|18/01/2011|01/06/2013|01/01/2012|03/02/2014|11/08/2013|16/06/2014|27/03/2013|07/11/2013|27/03/2013|01/01/2012|08/10/2012|01/01/2012,"Impact of gene dosage, loss of wild-type allele, and FLT3 ligand on Flt3-ITD-induced myeloproliferation|Dicer is selectively important for the earliest stages of erythroid development.|Coexistence of LMPP-like and GMP-like leukemia stem cells in acute myeloid leukemia.|Germline counterparts of oncogenic mutations: who gives a JAK?.|Germline JAK2 mutation in a family with hereditary thrombocytosis|Erythropoietin guides multipotent hematopoietic progenitor cells toward an erythroid fate.|Platelet-biased stem cells reside at the apex of the haematopoietic stem-cell hierarchy|Myelodysplastic syndromes are propagated by rare and distinct human cancer stem cells in vivo|FLT3-ITDs instruct a myeloid differentiation and transformation bias in lymphomyeloid multipotent progenitors.|Lymphomyeloid contribution of an immune-restricted progenitor emerging prior to definitive hematopoietic stem cells.|Impact of isolated germline JAK2V617I mutation on human hematopoiesis.|Molecular and cellular effects of oncogene cooperation in a genetically accurate AML mouse model|Perturbation of fetal liver hematopoietic stem and progenitor cell development by trisomy 21.|The earliest thymic T cell progenitors sustain B cell and myeloid lineage potential","Kharazi S,Mead AJ,Mansour A,Hultquist A,Böiers C,Luc S,Buza-Vidas N,Ma Z,Ferry H,Atkinson D,Reckzeh K,Masson K,Cammenga J,Rönnstrand L,Arai F,Suda T,Nerlov C,Sitnicka E,Jacobsen SEW|Buza-Vidas N,Cismasiu VB,Moore S,Mead AJ,Woll PS,Lutteropp M,Melchiori L,Luc S,Bouriez-Jones T,Atkinson D,O'Carroll D,Jacobsen SE,Nerlov C|Goardon N,Marchi E,Atzberger A,Quek L,Schuh A,Soneji S,Woll P,Mead A,Alford KA,Rout R,Chaudhury S,Gilkes A,Knapper S,Beldjord K,Begum S,Rose S,Geddes N,Griffiths M,Standen G,Sternberg A,Cavenagh J,Hunter H,Bowen D,Killick S,Robinson L,Price A,Macintyre E,Virgo P,Burnett A,Craddock C,Enver T,Jacobsen SE,Porcher C,Vyas P|Mead AJ,Constantinescu SN,Jacobsen SE|Mead AJ,Rugless MJ,Jacobsen SEW,Schuh A|Grover A,Mancini E,Moore S,Mead AJ,Atkinson D,Rasmussen KD,O'Carroll D,Jacobsen SE,Nerlov C|Sanjuan-Pla A,Moore S,Nerlov C,Carella C,Macaulay IC,Jensen CT,Woll PS,Luis TC,Mead A,Matsuoka S,Jones TB,Chowdhury O,Stenson L,Lutteropp M,Green JCA,Facchini R,Boukarabila H,Carrelha J,Tarrant P,Atkinson D,Clark S-A,Jacobsen SEW,Grover A,Gambardella A,Thongjuea S|Woll PS,Kjällquist U,Chowdhury O,Doolittle H,Wedge DC,Thongjuea S,Erlandsson R,Ngara M,Anderson K,Deng Q,Mead AJ,Stenson L,Giustacchini A,Duarte S,Giannoulatou E,Taylor S,Karimi M,Scharenberg C,Mortera-Blanco T,Macaulay IC,Clark SA,Dybedal I,Josefsen D,Fenaux P,Hokland P,Holm MS,Cazzola M,Malcovati L,Tauro S,Bowen D,Boultwood J,Pellagatti A,Pimanda JE,Unnikrishnan A,Vyas P,Göhring G,Schlegelberger B,Tobiasson M,Kvalheim G,Constantinescu SN,Nerlov C,Nilsson L,Campbell PJ,Sandberg R,Papaemmanuil E,Hellström-Lindberg E,Linnarsson S,Jacobsen SEW|Mead AJ,Kharazi S,Atkinson D,Macaulay I,Pecquet C,Loughran S,Lutteropp M,Woll P,Chowdhury O,Luc S,Buza-Vidas N,Ferry H,Clark SA,Goardon N,Vyas P,Constantinescu SN,Sitnicka E,Nerlov C,Jacobsen SE|Böiers C,Carrelha J,Lutteropp M,Luc S,Green JCA,Azzoni E,Woll PS,Mead AJ,Hultquist A,Swiers G,Perdiguero EG,Macaulay IC,Melchiori L,Luis TC,Kharazi S,Bouriez-Jones T,Deng Q,Pontén A,Atkinson D,Jensen CT,Sitnicka E,Geissmann F,Godin I,Sandberg R,de Bruijn MFTR,Jacobsen SEW|Mead AJ,Chowdhury O,Pecquet C,Dusa A,Woll P,Atkinson D,Burns A,Score J,Rugless M,Clifford R,Moule S,Bienz N,Vyas P,Cross N,Gale RE,Henderson S,Constantinescu SN,Schuh A,Jacobsen SE|Reckzeh K,Bereshchenko O,Mead A,Rehn M,Kharazi S,Jacobsen SE,Nerlov C,Cammenga J|Roy A,Cowan G,Mead AJ,Filippi S,Bohn G,Chaidos A,Tunstall O,Chan JK,Choolani M,Bennett P,Kumar S,Atkinson D,Wyatt-Ashmead J,Hu M,Stumpf MP,Goudevenou K,O'Connor D,Chou ST,Weiss MJ,Karadimitris A,Jacobsen SE,Vyas P,Roberts I|Luc S,Luis TC,Boukarabila H,Macaulay IC,Buza-Vidas N,Bouriez-Jones T,Lutteropp M,Woll PS,Loughran SJ,Mead AJ,Hultquist A,Brown J,Mizukami T,Matsuoka S,Ferry H,Anderson K,Duarte S,Atkinson D,Soneji S,Domanski A,Farley A,Sanjuan-Pla A,Carella C,Patient R,De Bruijn M,Enver T,Nerlov C,Blackburn C,Godin I,Jacobsen SEW","|Animals,Biomarkers,Blotting,Western,Cell Differentiation,Cell Lineage,DEAD-box RNA Helicases,Erythroid Cells,Gene Expression Profiling,Gene Expression Regulation,Hematopoietic Stem Cells,Integrases,Megakaryocyte Progenitor Cells,Mice,Knockout,Oligonucleotide Array Sequence Analysis,RNA,Messenger,Real-Time Polymerase Chain Reaction,Reverse Transcriptase Polymerase Chain Reaction,Ribonuclease III,Transcription Factors|Adult,Aged,80 and over,Animals,Antigens,CD,CD34,CD45,Cell Differentiation,Cell Lineage,Gene Expression Profiling,Graft Survival,Granulocyte-Macrophage Progenitor Cells,Hematopoietic Stem Cells,Humans,Immunophenotyping,Leukemia,Myeloid,Acute,Lymphoid Progenitor Cells,Mice,Inbred NOD,SCID,Middle Aged,Neoplastic Stem Cells,Transplantation,Heterologous,Young Adult|Animals,Germ-Line Mutation,Humans,Janus Kinase 2,Mice,Oncogenes||Animals,Cell Lineage,Colony-Forming Units Assay,Erythroid Precursor Cells,Erythropoiesis,Erythropoietin,Gene Expression Profiling,Hematopoietic Stem Cell Transplantation,Hematopoietic Stem Cells,Mice,Congenic,Inbred C57BL,Transgenic,Multipotent Stem Cells,Recombinant Proteins|||Animals,Cell Differentiation,Cell Transformation,Neoplastic,Disease Models,Animal,Flow Cytometry,Gene Expression,Humans,Leukemia,Myeloid,Acute,Mice,Microarray Analysis,Multipotent Stem Cells,Myeloid Cells,Signal Transduction,fms-Like Tyrosine Kinase 3||Adult,Amino Acid Substitution,Animals,Cells,Cultured,Family,Female,Germ-Line Mutation,Hematopoiesis,Humans,Isoleucine,Janus Kinase 2,Male,Mice,Inbred NOD,Transgenic,Middle Aged,Myeloproliferative Disorders,Valine||Cell Differentiation,Cell Lineage,Down Syndrome,Flow Cytometry,Gene Expression Profiling,Hematopoietic Stem Cells,Humans,Liver|"
clme0501,whgu0172,2,0.26785714285714285,Journal article|Journal article,Molecular and Cellular Proteomics|Clinical Proteomics,01/01/2011|26/04/2012,Label-free quantitative proteomics reveals differentially regulated proteins influencing urolithiasis|Detection of BK virus in urine from renal transplant subjects by mass spectrometry.,"Wright CA,Howles S,Trudgian DC,Kessler BM,Reynard JM,Noble JG,Hamdy FC,Turney BW|Konietzny R,Fischer R,Ternette N,Wright CA,Turney BW,Chakera A,Hughes D,Kessler BM,Pugh CW",|
olin0081,path0089,1,0.037037037037037035,Journal article,Gut,07/03/2016,Impaired antibacterial autophagy links granulomatous intestinal inflammation in Niemann-Pick disease type C1 and XIAP deficiency with NOD2 variants in Crohn's disease.,"Schwerd T,Pandey S,Yang HT,Bagola K,Jameson E,Jung J,Lachmann RH,Shah N,Patel SY,Booth C,Runz H,Düker G,Bettels R,Rohrbach M,Kugathasan S,Chapel H,Keshav S,Elkadri A,Platt N,Muise AM,Koletzko S,Xavier RJ,Marquardt T,Powrie F,Wraith JE,Gyrd-Hansen M,Platt FM,Uhlig HH",
claridge,clme0485,1,0.16666666666666666,Journal article,ChemBioChem: a European journal of chemical biology,22/06/2012,Development and application of a fluoride-detection-based fluorescence assay for γ-butyrobetaine hydroxylase.,"Rydzik AM,Leung IK,Kochan GT,Thalhammer A,Oppermann U,Claridge TD,Schofield CJ","Biocatalysis,Fluorescence,Fluorides,Humans,Hydrocarbons,Fluorinated,Magnetic Resonance Spectroscopy,Molecular Structure,Protons,gamma-Butyrobetaine Dioxygenase"
path0063,smlea,1,0.125,Journal article,Structure,22/06/2015,Structures of CD6 and Its Ligand CD166 Give Insight into Their Interaction.,"Chappell PE,Garner LI,Yan J,Metcalfe C,Hatherley D,Johnson S,Robinson CV,Lea SM,Brown MH","CHO Cells,Animals,Humans,Cricetulus,Escherichia coli,Fetal Proteins,Cell Adhesion Molecules,Neuronal,Recombinant Fusion Proteins,Antigens,CD,Differentiation,T-Lymphocyte,Crystallography,X-Ray,Cloning,Molecular,Gene Expression,Binding Sites,Amino Acid Motifs,Protein Structure,Secondary,Protein Binding,Glycosylation,Mutation,Polymorphism,Single Nucleotide,Models,Molecular Sequence Data,Protein Interaction Domains and Motifs,Protein Multimerization,Static Electricity"
quee1607,stat0004,2,0.07584097859327217,Journal article|Journal article,Nature Genetics|Nature Communications,18/05/2015|01/01/2014,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.|Whole-genome sequencing of bladder cancers reveals somatic CDKN1A mutations and clinicopathological associations with mutation burden.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G|Cazier JB,Rao SR,McLean CM,Walker AK,Wright BJ,Jaeger EE,Kartsonaki C,Marsden L,Yau C,Camps C,Kaisaki P,Taylor J,Catto JW,Tomlinson IP,Kiltie AE,Hamdy FC","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing|Oxford-Illumina WGS500 Consortium,Humans,Cadherins,Sequence Analysis,DNA,Base Sequence,Mutation,Genome,Molecular Sequence Data,Cyclin-Dependent Kinase Inhibitor p21,Urinary Bladder Neoplasms,Genetic Variation,Neoplasm Grading"
clme0975,immd0316,1,0.05263157894736842,Journal article,Nature Communications,,Differential clonal evolution in oesophageal cancers in response to neo-adjuvant chemotherapy.,"Findlay JM,Castro-Giner F,Makino S,Rayner E,Kartsonaki C,Cross W,Kovac M,Ulahannan D,Palles C,Gillies RS,MacGregor TP,Church D,Maynard ND,Buffa F,Cazier JB,Graham TA,Wang LM,Sharma RA,Middleton M,Tomlinson I",
